id,title
1,http4sとcats-effectで可愛らしい、関数型らしいアプリケーションを書こう！٩(๑^o^๑)۶
2,アニメーションで理解するAkka StreamsとAkka HTTP
3,Format things with scalafmt
4,Scala-erにも影響ありそうなJavaの現状まとめ
5,Akkaを分散トレーシングで見てみよう
6,DatabricksとSparkではじめる [データ分析/機械学習] 実践入門
7,Json codec を楽しもう、現場で役立つ circe
8,実践GraphQL on Scala
