id,title
1,Cloud Code とコンテナツールで Kubernetes を使った開発を徹底効率化
2,Cloud Run 〜Knative を使った新しいサーバーレス
3,メルペイのマイクロ サービスを支える GKE と Cloud Spanner
4,Twitter 登壇！INSIDE Digital 〜 グローバル規模で活躍するサービス事業社の裏側 〜
5,進化する音声認識 : 音声コマンドや IVR の最適化から音声分析まで
6,GCP で実現する次世代ネット通販レコメンデーション
7,Site Reliability Engineering 入門
8,"Istio, Kubernetes, Spinnaker を使ったカナリア デプロイメント"
9,Cloud Spanner in Action
